system:index,CD_GEOCMU,NM_MUNICIP,sum,.geo
00009765465b02045a38,3143708,MORRO DO PILAR,4.774614585773285E8,
0000103530f7cfda6cc8,3134608,JABOTICATUBAS,1.1148983112833338E9,
0000558a6763b5390a81,3107703,BOM JESUS DO AMPARO,1.9558381182261032E8,
00006de3be6729afb994,3136603,NOVA UNIÃO,1.7211950988750005E8,
0000c03488d4756e26ef,3168309,TAQUARAÇU DE MINAS,3.292170857787376E8,
0000bba120c243c7a105,3105004,BALDIM,5.561791329541674E8,
00005063739eab33ff82,3159001,SANTANA DO RIACHO,6.771366653444853E8,
000061bc58aa2a25704a,3135704,JEQUITIBÁ,4.449555876495707E8,
00009e8fc1dab90970bb,3158508,SANTANA DE PIRAPAMA,1.2556330755212624E9,
0000501a2323b3a655a1,3127206,FUNILÂNDIA,1.9970441998198527E8,
0000662cd4ef0674df57,3118908,CORDISBURGO,8.23801601080453E8,
00000e241fbac713965b,3103207,ARAÇAÍ,1.8738383601917884E8,
00008037d4cb0e7f077b,3120904,CURVELO,3.295830661262015E9,
000090f99409ced825e9,3131109,INIMUTABA,5.27052534548897E8,
000021d895b69201eb6e,3147402,PARAOPEBA,6.255488834465077E8,
00007ced830618920db0,3167202,SETE LAGOAS,5.365558281979165E8,
0000eb7498ab20a11cb0,3153608,PRUDENTE DE MORAIS,1.2414845564019607E8,
0000e7bc76594e665958,3109907,CAETANÓPOLIS,1.5602751964705873E8,
0000e973c10e46e7f5fb,3131000,INHAÚMA,2.449821100227329E8,
0000e19436b678c80268,3124104,ESMERALDAS,9.097083491420956E8,
00003d7aa5606c4748b2,3112505,CAPIM BRANCO,9.529454048786767E7,
00007049edf105347d56,3141108,MATOZINHOS,2.522731198659315E8,
0000b73829f9d7e7965c,3149309,PEDRO LEOPOLDO,2.928922538916055E8,
00005f206a420fc900af,3162955,SÃO JOSÉ DA LAPA,4.793059327990195E7,
00002799638055ae89a9,3117876,CONFINS,4.2351342060477935E7,
000047ab0bdb8743694f,3171204,VESPASIANO,7.105735688069855E7,
